CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
236.99,3.0,95.84,0.91,3.23,6.68,The Villages,152
347.14,15.59,41.13,3.04,17.81,19.31,Woodbury,54
323.77,12.85,64.37,2.03,2.86,4.09,Quincy,66
233.65,3.86,23.6,1.57,2.47,2.84,Longview,20
267.03,12.34,47.21,1.62,1.36,3.27,Scottsdale,40
270.37,6.17,9.39,0.19,1.87,2.8,Beaverton,7
250.34,2.64,34.33,0.05,3.45,3.63,Jonesboro,29
420.57,21.08,14.48,2.53,2.11,8.76,Vancouver,26
287.06,7.2,47.92,0.97,4.66,5.1,Springfield,40
250.34,7.97,82.25,1.24,3.69,12.72,Tampa,118
377.18,14.22,36.84,1.03,7.29,7.62,Davenport,31
313.76,8.05,25.03,0.37,4.36,5.05,Fort Smith,21
614.17,46.61,17.88,6.2,17.55,20.97,Sandy,58
257.02,5.83,80.11,2.53,6.24,17.1,Metairie,112
267.03,9.25,61.51,1.61,1.61,2.57,Santa Monica,57
440.6,21.94,45.78,3.1,13.78,17.53,Highlands Ranch,44
240.33,4.46,35.41,4.05,4.24,5.13,Macon,30
208.62,0.72,65.8,1.22,3.35,9.07,Santa Maria,71
310.42,8.23,11.62,0.41,3.83,4.34,Little Rock,12
433.92,25.71,34.33,7.63,11.1,12.66,Kansas City,36
1815.8,105.56,9.74,15.5,78.01,103.35,Redondo Beach,157
307.08,8.57,46.49,0.47,6.14,7.28,Greenville,39
233.65,5.06,94.41,1.76,4.85,22.39,Davie,148
320.44,12.17,59.37,1.4,4.3,5.68,Pawtucket,51
587.46,19.02,1.81,5.25,15.33,18.1,Arden-Arcade,49
287.06,7.03,43.63,0.12,2.04,2.83,Ogden,36
307.08,10.2,53.64,2.56,8.26,10.31,Winston-Salem,45
210.29,1.37,65.8,0.47,4.91,10.28,Plymouth,71
267.03,8.74,42.92,1.42,1.21,3.23,Gilbert,36
223.64,1.46,54.36,0.06,0.55,2.05,San Tan Valley,46
357.15,13.54,40.41,1.52,5.55,7.15,Shawnee,34
226.97,1.46,76.53,0.31,2.58,5.69,Tallahassee,103
226.97,3.77,57.22,0.43,0.75,2.36,Casas Adobes,48
226.97,2.1,90.12,0.4,2.79,13.23,Kissimmee,137
226.97,2.66,70.81,0.09,0.5,0.83,Santa Clarita,86
357.15,21.59,37.91,1.89,7.41,8.25,Erie,32
263.69,8.05,42.56,0.93,2.26,3.23,Hemet,36
230.31,0.83,79.39,0.1,0.67,1.46,Eugene,110
233.65,5.06,94.41,1.76,4.85,22.39,Sunrise,148
323.77,16.62,50.07,2.03,4.93,7.57,Sparks,42
280.38,9.6,48.64,0.84,4.15,4.69,Antioch,41
343.8,19.19,52.21,2.18,5.96,7.61,Fall River,44
380.52,15.59,18.42,1.13,5.62,8.3,Oxnard,19
290.39,10.11,33.98,1.51,1.7,2.47,Renton,28
233.65,2.61,30.04,0.07,1.1,2.13,Fairfield,25
357.15,22.62,42.56,4.11,4.92,9.78,Palo Alto,36
236.99,3.94,51.5,0.97,1.27,3.35,San Diego,43
233.65,2.25,50.78,0.03,0.5,0.91,San Buenaventura,43
267.03,12.34,47.21,1.62,1.36,3.27,Mesa,40
300.41,12.51,31.47,1.82,2.09,3.14,Seattle,26
226.97,1.48,60.08,0.53,2.41,4.55,Meridian,53
287.06,5.31,57.22,0.63,1.13,1.26,Concord,48
427.25,40.1,17.17,3.01,7.49,9.68,Lake Forest,50
253.68,6.6,60.08,1.27,1.24,2.24,Redwood City,53
236.99,1.37,55.08,0.09,0.64,1.29,Salem,46
667.57,66.49,6.97,6.74,19.13,21.75,Palatine,83
460.63,39.41,13.23,7.87,16.27,20.24,Moreno Valley,51
363.83,19.36,38.62,1.68,11.02,12.97,High Point,35
380.52,17.14,25.75,0.82,8.35,13.03,Lubbock,27
360.49,14.05,31.47,1.55,8.32,9.73,Wichita,27
1441.96,106.93,15.56,15.74,87.92,102.82,Washington,163
267.03,6.94,37.19,1.01,2.89,4.7,Temecula,31
233.65,2.25,62.94,0.51,2.79,5.12,Tuscaloosa,62
350.48,18.51,54.36,1.79,8.94,11.16,Norfolk,46
290.39,17.31,46.49,3.22,5.47,7.14,The Woodlands,39
257.02,5.57,57.22,0.95,3.69,4.29,Murfreesboro,48
307.08,9.08,67.95,1.79,2.08,2.77,Medford,77
243.66,3.56,59.37,0.78,3.32,4.78,Huntsville,51
226.97,2.23,95.84,0.95,4.07,19.96,Coral Springs,152
400.54,29.82,33.98,2.65,10.99,14.72,Paterson,37
211.95,0.66,72.96,0.6,3.37,8.19,Saint George,93
707.63,59.63,8.4,10.85,20.73,24.02,Farmington Hills,74
273.71,5.66,22.17,0.2,2.64,3.18,Killeen,18
223.64,2.66,3.31,4.11,3.06,3.91,Mount Pleasant,9
257.02,11.82,57.94,1.54,1.79,5.31,El Monte,49
410.56,31.87,34.33,7.33,19.89,21.93,Saint Paul,58
201.94,2.96,73.67,1.79,6.19,8.38,Colorado Springs,95
257.02,11.82,57.94,1.54,1.79,5.31,Pasadena,49
473.98,22.96,45.78,102.04,15.83,17.9,Syracuse,80
260.35,7.71,65.09,1.55,2.42,4.11,Chino,69
440.6,21.94,45.78,3.1,13.78,17.53,Centennial,44
343.8,18.68,37.19,1.86,5.78,10.17,Redlands,31
387.19,22.96,45.42,2.77,11.48,13.08,Akron,38
236.99,3.9,53.64,0.03,0.5,1.01,Camarillo,45
2162.93,100.08,6.35,17.88,96.33,123.21,Bellflower,168
370.5,28.79,27.54,3.82,5.21,6.46,Kenosha,35
370.5,22.96,45.78,2.21,6.79,7.2,Lorain,38
303.75,7.37,67.23,0.82,1.66,3.0,Newton,75
280.38,6.26,19.49,0.08,2.6,2.99,Lewisville,16
807.76,54.84,12.16,15.74,43.51,54.4,Anaheim,106
320.44,13.02,11.8,0.85,3.83,4.4,Carrollton,16
287.06,10.54,36.84,3.25,4.63,7.75,Oceanside,31
273.71,6.77,52.21,1.73,18.36,19.99,Greeley,55
283.72,13.71,50.07,2.65,2.28,4.19,San Jose,42
1815.8,105.56,9.74,15.5,78.01,103.35,Carson,157
243.66,2.25,67.23,0.32,1.3,2.44,Bay,75
350.48,15.42,33.26,0.78,6.9,7.24,Lansing,28
320.44,7.28,6.88,0.6,3.96,4.81,Sacramento,12
640.87,29.82,13.05,0.52,19.94,21.28,Nampa,59
223.64,2.08,101.57,1.43,5.47,25.52,Miami,166
1241.68,89.11,18.77,10.25,76.53,94.47,Glen Burnie,156
370.5,13.37,14.31,1.94,5.33,9.4,Folsom,17
774.38,61.01,6.97,12.04,23.26,26.56,Warren,76
253.68,4.71,74.39,2.77,0.8,1.81,Odessa,98
343.8,17.31,52.21,3.43,9.55,11.32,Greensboro,44
260.35,5.1,60.08,1.33,3.14,4.37,Johnson City,53
230.31,1.2,78.68,0.59,2.36,4.87,Brownsville,109
1815.8,105.56,9.74,15.5,78.01,103.35,Lynwood,157
433.92,20.91,57.94,1.46,14.64,19.69,Broomfield,49
260.35,9.77,67.23,1.74,1.33,2.82,Hollywood,75
727.65,50.04,11.62,15.97,18.86,23.64,Detroit,62
257.02,9.77,45.78,4.05,3.39,3.77,Memphis,38
974.66,61.69,2.55,6.14,42.32,56.32,New York,103
841.14,80.2,16.09,30.99,52.86,64.17,Tustin,124
277.04,11.48,18.77,2.24,3.3,4.82,Stockton,15
323.77,12.85,64.37,2.03,2.86,4.09,Boston,66
226.97,1.46,97.28,0.65,3.43,10.67,Port Saint Lucie,155
357.15,22.62,42.56,4.11,4.92,9.78,Union City,36
327.11,18.34,47.92,3.31,4.93,6.03,Dayton,40
393.87,10.8,30.76,0.38,6.48,7.0,Missoula,26
263.69,0.68,70.1,0.08,0.5,0.52,Riverview,84
313.76,9.94,12.16,0.86,5.63,6.52,Visalia,18
310.42,8.23,11.62,0.41,3.83,4.34,North Little Rock,12
233.65,4.93,97.28,2.03,5.53,24.54,Miami Gardens,155
293.73,5.83,33.26,0.15,5.6,6.42,Lawton,28
390.53,20.39,36.12,2.06,6.71,7.92,Overland Park,30
433.92,25.71,34.33,7.63,11.1,12.66,Independence,36
267.03,5.91,49.35,0.59,4.21,4.41,Mount Vernon,41
514.03,54.84,25.39,9.54,21.86,24.66,Pittsburgh,68
383.85,21.94,39.7,1.64,10.78,13.95,Raleigh,35
257.02,5.83,80.11,2.53,6.24,17.1,New Orleans,112
290.39,7.88,32.54,1.21,2.46,4.36,Thousand Oaks,27
280.38,4.67,26.82,0.04,3.2,3.37,Denton,22
420.57,17.82,22.71,1.34,11.07,15.23,Menifee,35
247.0,2.83,78.68,2.8,2.7,3.33,Asheville,109
363.83,11.48,56.51,1.77,19.47,21.12,Sioux Falls,58
247.0,6.17,56.51,1.04,1.14,2.22,Mountain View,47
